"","Name","Type","Magnitude","Distance","Constellation","RA","DEC","Other.Names","dec_n","ra_n","script"
"1","NGC 1","Galaxy","15.2",179.952,"Pegasus","00h07m","+27°42'","Mrk 477",27.7,1.75,"planetarium.addPointer({
    'ra':  1.75 ,
    'dec':  27.7 ,
    'label': ' NGC 1 ',
    'colour': ' rgb(255,0,0) '});"
"2","NGC 2","Galaxy","16.2",315.568,"Pegasus","00h07m","+27°40'","Mrk 1175",27.6666666666667,1.75,"planetarium.addPointer({
    'ra':  1.75 ,
    'dec':  27.6666666666667 ,
    'label': ' NGC 2 ',
    'colour': ' rgb(255,0,0) '});"
"7","NGC 7","Galaxy","13.8",65.363,"Sculptor","00h08m","-29°54'","",-28.1,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  -28.1 ,
    'label': ' NGC 7 ',
    'colour': ' rgb(255,0,0) '});"
"9","NGC 9","Galaxy","14.6",134.475,"Pegasus","00h08m","+23°49'","",23.8166666666667,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  23.8166666666667 ,
    'label': ' NGC 9 ',
    'colour': ' rgb(255,0,0) '});"
"10","NGC 10","Galaxy","12.5",274.818,"Sculptor","00h08m","-33°51'","",-32.15,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  -32.15 ,
    'label': ' NGC 10 ',
    'colour': ' rgb(255,0,0) '});"
"11","NGC 11","Galaxy","14.4",176.04,"Andromeda","00h08m","+37°26'","",37.4333333333333,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  37.4333333333333 ,
    'label': ' NGC 11 ',
    'colour': ' rgb(255,0,0) '});"
"12","NGC 12","Galaxy","13.2",153.22,"Pisces","00h08m","+04°36'","",4.6,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  4.6 ,
    'label': ' NGC 12 ',
    'colour': ' rgb(255,0,0) '});"
"13","NGC 13","Galaxy","14.1",201.468,"Andromeda","00h08m","+33°25'","",33.4166666666667,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  33.4166666666667 ,
    'label': ' NGC 13 ',
    'colour': ' rgb(255,0,0) '});"
"15","NGC 15","Galaxy","15.1",402.61,"Pegasus","00h09m","+21°37'","",21.6166666666667,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  21.6166666666667 ,
    'label': ' NGC 15 ',
    'colour': ' rgb(255,0,0) '});"
"16","NGC 16","Galaxy","12.0",107.091,"Pegasus","00h09m","+27°43'","",27.7166666666667,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  27.7166666666667 ,
    'label': ' NGC 16 ',
    'colour': ' rgb(255,0,0) '});"
"19","NGC 19","Galaxy","13.8",209.292,"Andromeda","00h10m","+32°58'","",32.9666666666667,2.5,"planetarium.addPointer({
    'ra':  2.5 ,
    'dec':  32.9666666666667 ,
    'label': ' NGC 19 ',
    'colour': ' rgb(255,0,0) '});"
"21","NGC 21","Galaxy","13.4",229.178,"Andromeda","00h10m","+33°21'","",33.35,2.5,"planetarium.addPointer({
    'ra':  2.5 ,
    'dec':  33.35 ,
    'label': ' NGC 21 ',
    'colour': ' rgb(255,0,0) '});"
"22","NGC 22","Galaxy","14.8",394.46,"Pegasus","00h09m","+27°49'","",27.8166666666667,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  27.8166666666667 ,
    'label': ' NGC 22 ',
    'colour': ' rgb(255,0,0) '});"
"23","NGC 23","Galaxy","13.0",177.996,"Pegasus","00h09m","+25°55'","Mrk 545",25.9166666666667,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  25.9166666666667 ,
    'label': ' NGC 23 ',
    'colour': ' rgb(255,0,0) '});"
"24","NGC 24","Galaxy","11.5",26.6342,"Sculptor","00h09m","-24°57'","",-23.05,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  -23.05 ,
    'label': ' NGC 24 ',
    'colour': ' rgb(255,0,0) '});"
"25","NGC 25","Galaxy","15.5",30.5788,"Phoenix","00h09m","-57°01'","",-56.9833333333333,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  -56.9833333333333 ,
    'label': ' NGC 25 ',
    'colour': ' rgb(255,0,0) '});"
"26","NGC 26","Galaxy","13.8",206.684,"Pegasus","00h10m","+25°49'","",25.8166666666667,2.5,"planetarium.addPointer({
    'ra':  2.5 ,
    'dec':  25.8166666666667 ,
    'label': ' NGC 26 ',
    'colour': ' rgb(255,0,0) '});"
"27","NGC 27","Galaxy","14.4",306.766,"Andromeda","00h10m","+28°59'","",28.9833333333333,2.5,"planetarium.addPointer({
    'ra':  2.5 ,
    'dec':  28.9833333333333 ,
    'label': ' NGC 27 ',
    'colour': ' rgb(255,0,0) '});"
"36","NGC 36","Galaxy","14.4",231.46,"Pisces","00h11m","+06°23'","",6.38333333333333,2.75,"planetarium.addPointer({
    'ra':  2.75 ,
    'dec':  6.38333333333333 ,
    'label': ' NGC 36 ',
    'colour': ' rgb(255,0,0) '});"
