"","Name","Type","Magnitude","Distance","Constellation","RA","DEC","Other.Names","dec_n","ra_n","script"
"104","NGC 104","Globular cluster","4.0","4.5","Tucana","00h24m","-72°04'","47 Tucanae, C 106, Mel 1",-71.9333333333333,6,"planetarium.addPointer({
    'ra':  6 ,
    'dec':  -71.9333333333333 ,
    'label': ' NGC 104 ',
    'colour': ' rgb(255,220,220) '});"
"121","NGC 121","Globular cluster","11.2","61.0","Tucana","00h26m","-71°32'","",-70.4666666666667,6.5,"planetarium.addPointer({
    'ra':  6.5 ,
    'dec':  -70.4666666666667 ,
    'label': ' NGC 121 ',
    'colour': ' rgb(255,220,220) '});"
"288","NGC 288","Globular cluster","8.1","8.8","Sculptor","00h52m","-26°35'","Mel 3",-25.4166666666667,13,"planetarium.addPointer({
    'ra':  13 ,
    'dec':  -25.4166666666667 ,
    'label': ' NGC 288 ',
    'colour': ' rgb(255,220,220) '});"
"339","NGC 339","Globular cluster","12.2","58.0","Tucana","00h57m","-74°28'","",-73.5333333333333,14.25,"planetarium.addPointer({
    'ra':  14.25 ,
    'dec':  -73.5333333333333 ,
    'label': ' NGC 339 ',
    'colour': ' rgb(255,220,220) '});"
"362","NGC 362","Globular cluster","6.6","8.5","Tucana","01h03m","-70°50'","C 104, Mel 4",-69.1666666666667,15.75,"planetarium.addPointer({
    'ra':  15.75 ,
    'dec':  -69.1666666666667 ,
    'label': ' NGC 362 ',
    'colour': ' rgb(255,220,220) '});"
"416","NGC 416","Globular cluster","11.8","60.0","Tucana","01h07m","-72°21'","",-71.65,16.75,"planetarium.addPointer({
    'ra':  16.75 ,
    'dec':  -71.65 ,
    'label': ' NGC 416 ',
    'colour': ' rgb(255,220,220) '});"
"419","NGC 419","Globular cluster","10.5","58.0","Tucana","01h08m","-72°53'","",-71.1166666666667,17,"planetarium.addPointer({
    'ra':  17 ,
    'dec':  -71.1166666666667 ,
    'label': ' NGC 419 ',
    'colour': ' rgb(255,220,220) '});"
"1049","NGC 1049","Globular cluster","13.6","136.0","Fornax","02h39m","-34°15'","",-33.75,39.75,"planetarium.addPointer({
    'ra':  39.75 ,
    'dec':  -33.75 ,
    'label': ' NGC 1049 ',
    'colour': ' rgb(255,220,220) '});"
"1261","NGC 1261","Globular cluster","8.4","16.4","Horologium","03h12m","-55°13'","C 87, Mel 19",-54.7833333333333,48,"planetarium.addPointer({
    'ra':  48 ,
    'dec':  -54.7833333333333 ,
    'label': ' NGC 1261 ',
    'colour': ' rgb(255,220,220) '});"
"1466","NGC 1466","Globular cluster","11.6","52.0","Hydrus","03h44m","-71°40'","",-70.3333333333333,56,"planetarium.addPointer({
    'ra':  56 ,
    'dec':  -70.3333333333333 ,
    'label': ' NGC 1466 ',
    'colour': ' rgb(255,220,220) '});"
