"","Name","Type","Magnitude","Distance","Constellation","RA","DEC","Other.Names","dec_n","ra_n","script","gaB","gaL","scriptGal"
"249","NGC 249","HII region","13.8","","Tucana","00h45m","-73°04'","",-72.9333333333333,11.25,"planetarium.addPointer({
    'ra':  11.25 ,
    'dec':  -72.9333333333333 ,
    'label': ' NGC 249 ',
    'colour': ' rgb(117, 50, 168) '});",0.32182606456814,-0.0311918472869565,"planetarium.addPointer({
    'ra':  11.25 ,
    'dec':  -72.9333333333333 ,
    'label': ' NGC 249 ',
    'colour': ' rgb(0,153,0) '});"
"281","NGC 281","HII region","–","","Cassiopeia","00h52m","+56°37'","Pacman Nebula",56.6166666666667,13,"planetarium.addPointer({
    'ra':  13 ,
    'dec':  56.6166666666667 ,
    'label': ' NGC 281 ',
    'colour': ' rgb(117, 50, 168) '});",-0.98483152977952,-0.590291841319219,"planetarium.addPointer({
    'ra':  13 ,
    'dec':  56.6166666666667 ,
    'label': ' NGC 281 ',
    'colour': ' rgb(0,153,0) '});"
"588","NGC 588","HII region","14.4","","Triangulum","01h32m","+30°38'","",30.6333333333333,23,"planetarium.addPointer({
    'ra':  23 ,
    'dec':  30.6333333333333 ,
    'label': ' NGC 588 ',
    'colour': ' rgb(117, 50, 168) '});",0.116602126549076,-0.459819264033372,"planetarium.addPointer({
    'ra':  23 ,
    'dec':  30.6333333333333 ,
    'label': ' NGC 588 ',
    'colour': ' rgb(0,153,0) '});"
"595","NGC 595","HII region","–","","Triangulum","01h33m","+30°41'","",30.6833333333333,23.25,"planetarium.addPointer({
    'ra':  23.25 ,
    'dec':  30.6833333333333 ,
    'label': ' NGC 595 ',
    'colour': ' rgb(117, 50, 168) '});",0.0234680347375493,-0.295935909568391,"planetarium.addPointer({
    'ra':  23.25 ,
    'dec':  30.6833333333333 ,
    'label': ' NGC 595 ',
    'colour': ' rgb(0,153,0) '});"
"604","NGC 604","HII region","–","","Triangulum","01h34m","+30°47'","",30.7833333333333,23.5,"planetarium.addPointer({
    'ra':  23.5 ,
    'dec':  30.7833333333333 ,
    'label': ' NGC 604 ',
    'colour': ' rgb(117, 50, 168) '});",-0.0772160661366423,-0.102597500616182,"planetarium.addPointer({
    'ra':  23.5 ,
    'dec':  30.7833333333333 ,
    'label': ' NGC 604 ',
    'colour': ' rgb(0,153,0) '});"
"1432","NGC 1432","HII region","–","","Taurus","03h45m","+24°22'","Maia Nebula",24.3666666666667,56.25,"planetarium.addPointer({
    'ra':  56.25 ,
    'dec':  24.3666666666667 ,
    'label': ' NGC 1432 ',
    'colour': ' rgb(117, 50, 168) '});",-1.06888516239268,-0.169752548318255,"planetarium.addPointer({
    'ra':  56.25 ,
    'dec':  24.3666666666667 ,
    'label': ' NGC 1432 ',
    'colour': ' rgb(0,153,0) '});"
"1491","NGC 1491","HII region","–","","Perseus","04h03m","+51°18'","",51.3,60.75,"planetarium.addPointer({
    'ra':  60.75 ,
    'dec':  51.3 ,
    'label': ' NGC 1491 ',
    'colour': ' rgb(117, 50, 168) '});",0.770312629293405,1.58489457316884,"planetarium.addPointer({
    'ra':  60.75 ,
    'dec':  51.3 ,
    'label': ' NGC 1491 ',
    'colour': ' rgb(0,153,0) '});"
"1737","NGC 1737","HII region","–","","Dorado","04h53m","-69°10'","",-68.8333333333333,73.25,"planetarium.addPointer({
    'ra':  73.25 ,
    'dec':  -68.8333333333333 ,
    'label': ' NGC 1737 ',
    'colour': ' rgb(117, 50, 168) '});",0.824891752391794,0.476399801839243,"planetarium.addPointer({
    'ra':  73.25 ,
    'dec':  -68.8333333333333 ,
    'label': ' NGC 1737 ',
    'colour': ' rgb(0,153,0) '});"
"1760","NGC 1760","HII region","–","","Dorado","04h56m","-66°31'","",-65.4833333333333,74,"planetarium.addPointer({
    'ra':  74 ,
    'dec':  -65.4833333333333 ,
    'label': ' NGC 1760 ',
    'colour': ' rgb(117, 50, 168) '});",-0.25155894723004,1.00325206627303,"planetarium.addPointer({
    'ra':  74 ,
    'dec':  -65.4833333333333 ,
    'label': ' NGC 1760 ',
    'colour': ' rgb(0,153,0) '});"
"1880","NGC 1880","HII region","12.8","","Dorado","05h13m","-69°22'","",-68.6333333333333,78.25,"planetarium.addPointer({
    'ra':  78.25 ,
    'dec':  -68.6333333333333 ,
    'label': ' NGC 1880 ',
    'colour': ' rgb(117, 50, 168) '});",1.12509307940755,0.450293430231272,"planetarium.addPointer({
    'ra':  78.25 ,
    'dec':  -68.6333333333333 ,
    'label': ' NGC 1880 ',
    'colour': ' rgb(0,153,0) '});"
