"","Name","Type","Magnitude","Distance","Constellation","RA","DEC","Other.Names","dec_n","ra_n","script","gaB","gaL","scriptGal"
"1555","NGC 1555","Reflection nebula","10.0","","Taurus","04h21m","+19°32'","",19.5333333333333,65.25,"planetarium.addPointer({
    'ra':  65.25 ,
    'dec':  19.5333333333333 ,
    'label': ' NGC 1555 ',
    'colour': ' rgb(162, 168, 50) '});",0.772818653317388,0.0659237655502184,"planetarium.addPointer({
    'ra':  65.25 ,
    'dec':  19.5333333333333 ,
    'label': ' NGC 1555 ',
    'colour': ' rgb(0,153,0) '});"
"1788","NGC 1788","Reflection nebula","5.8","","Orion","05h06m","-03°20'","",-2.66666666666667,76.5,"planetarium.addPointer({
    'ra':  76.5 ,
    'dec':  -2.66666666666667 ,
    'label': ' NGC 1788 ',
    'colour': ' rgb(162, 168, 50) '});",0.291889876445245,-0.190239651219764,"planetarium.addPointer({
    'ra':  76.5 ,
    'dec':  -2.66666666666667 ,
    'label': ' NGC 1788 ',
    'colour': ' rgb(0,153,0) '});"
"1909","NGC 1909","Reflection nebula","–","","Eridanus","05h04m","-07°15'","",-6.75,76,"planetarium.addPointer({
    'ra':  76 ,
    'dec':  -6.75 ,
    'label': ' NGC 1909 ',
    'colour': ' rgb(162, 168, 50) '});",-1.22560383264376,0.63275709407721,"planetarium.addPointer({
    'ra':  76 ,
    'dec':  -6.75 ,
    'label': ' NGC 1909 ',
    'colour': ' rgb(0,153,0) '});"
"1985","NGC 1985","Reflection nebula","12.7","","Auriga","05h37m","+31°59'","",31.9833333333333,84.25,"planetarium.addPointer({
    'ra':  84.25 ,
    'dec':  31.9833333333333 ,
    'label': ' NGC 1985 ',
    'colour': ' rgb(162, 168, 50) '});",0.888288771313679,0.248287487063794,"planetarium.addPointer({
    'ra':  84.25 ,
    'dec':  31.9833333333333 ,
    'label': ' NGC 1985 ',
    'colour': ' rgb(0,153,0) '});"
"1999","NGC 1999","Reflection nebula","9.5","","Orion","05h36m","-06°42'","",-5.3,84,"planetarium.addPointer({
    'ra':  84 ,
    'dec':  -5.3 ,
    'label': ' NGC 1999 ',
    'colour': ' rgb(162, 168, 50) '});",0.686090312989322,-0.330023752511011,"planetarium.addPointer({
    'ra':  84 ,
    'dec':  -5.3 ,
    'label': ' NGC 1999 ',
    'colour': ' rgb(0,153,0) '});"
"2023","NGC 2023","Reflection nebula","–","","Orion","05h41m","-02°15'","",-1.75,85.25,"planetarium.addPointer({
    'ra':  85.25 ,
    'dec':  -1.75 ,
    'label': ' NGC 2023 ',
    'colour': ' rgb(162, 168, 50) '});",-0.652905658330447,2.09946702486769,"planetarium.addPointer({
    'ra':  85.25 ,
    'dec':  -1.75 ,
    'label': ' NGC 2023 ',
    'colour': ' rgb(0,153,0) '});"
"2064","NGC 2064","Reflection nebula","–","","Orion","05h46m","+00°00'","",0,86.5,"planetarium.addPointer({
    'ra':  86.5 ,
    'dec':  0 ,
    'label': ' NGC 2064 ',
    'colour': ' rgb(162, 168, 50) '});",0.0954904648575236,0.526499106639246,"planetarium.addPointer({
    'ra':  86.5 ,
    'dec':  0 ,
    'label': ' NGC 2064 ',
    'colour': ' rgb(0,153,0) '});"
"2067","NGC 2067","Reflection nebula","–","","Orion","05h46m","+00°07'","",0.116666666666667,86.5,"planetarium.addPointer({
    'ra':  86.5 ,
    'dec':  0.116666666666667 ,
    'label': ' NGC 2067 ',
    'colour': ' rgb(162, 168, 50) '});",0.148814197309472,0.631059260139895,"planetarium.addPointer({
    'ra':  86.5 ,
    'dec':  0.116666666666667 ,
    'label': ' NGC 2067 ',
    'colour': ' rgb(0,153,0) '});"
"2068","NGC 2068","Reflection nebula","8.0","0.5","Orion","05h46m","+00°04'","M 78",0.0666666666666667,86.5,"planetarium.addPointer({
    'ra':  86.5 ,
    'dec':  0.0666666666666667 ,
    'label': ' NGC 2068 ',
    'colour': ' rgb(162, 168, 50) '});",0.12612500508315,0.586078235061226,"planetarium.addPointer({
    'ra':  86.5 ,
    'dec':  0.0666666666666667 ,
    'label': ' NGC 2068 ',
    'colour': ' rgb(0,153,0) '});"
"2149","NGC 2149","Reflection nebula","–","","Monoceros","06h03m","-09°43'","",-8.28333333333333,90.75,"planetarium.addPointer({
    'ra':  90.75 ,
    'dec':  -8.28333333333333 ,
    'label': ' NGC 2149 ',
    'colour': ' rgb(162, 168, 50) '});",-0.817711847891583,-0.659949505322254,"planetarium.addPointer({
    'ra':  90.75 ,
    'dec':  -8.28333333333333 ,
    'label': ' NGC 2149 ',
    'colour': ' rgb(0,153,0) '});"
