"","Name","Type","Magnitude","Distance","Constellation","RA","DEC","Other.Names","dec_n","ra_n","script","gaB","gaL","scriptGal"
"56","NGC 56","Nebula","–","","Pisces","00h15m","+12°26'","",12.4333333333333,3.75,"planetarium.addPointer({
    'ra':  3.75 ,
    'dec':  12.4333333333333 ,
    'label': ' NGC 56 ',
    'colour': ' rgb(0,153,0) '});",0.850029768106829,-0.379116057051412,"planetarium.addPointer({
    'ra':  3.75 ,
    'dec':  12.4333333333333 ,
    'label': ' NGC 56 ',
    'colour': ' rgb(0,153,0) '});"
"111","NGC 111","Nebula","–","","Cetus","00h26m","-02°37'","",-1.38333333333333,6.5,"planetarium.addPointer({
    'ra':  6.5 ,
    'dec':  -1.38333333333333 ,
    'label': ' NGC 111 ',
    'colour': ' rgb(0,153,0) '});",-0.665682366064897,2.14625073370956,"planetarium.addPointer({
    'ra':  6.5 ,
    'dec':  -1.38333333333333 ,
    'label': ' NGC 111 ',
    'colour': ' rgb(0,153,0) '});"
"248","NGC 248","Nebula","–","","Tucana","00h45m","-73°22'","",-72.6333333333333,11.25,"planetarium.addPointer({
    'ra':  11.25 ,
    'dec':  -72.6333333333333 ,
    'label': ' NGC 248 ',
    'colour': ' rgb(0,153,0) '});",0.204231675205657,0.254898126514593,"planetarium.addPointer({
    'ra':  11.25 ,
    'dec':  -72.6333333333333 ,
    'label': ' NGC 248 ',
    'colour': ' rgb(0,153,0) '});"
"261","NGC 261","Nebula","13.0","","Tucana","00h46m","-73°06'","",-72.9,11.5,"planetarium.addPointer({
    'ra':  11.5 ,
    'dec':  -72.9 ,
    'label': ' NGC 261 ',
    'colour': ' rgb(0,153,0) '});",0.500214255951547,0.0678343832666241,"planetarium.addPointer({
    'ra':  11.5 ,
    'dec':  -72.9 ,
    'label': ' NGC 261 ',
    'colour': ' rgb(0,153,0) '});"
"305","NGC 305","Nebula","–","","Pisces","00h56m","+12°03'","",12.05,14,"planetarium.addPointer({
    'ra':  14 ,
    'dec':  12.05 ,
    'label': ' NGC 305 ',
    'colour': ' rgb(0,153,0) '});",-0.515136690128279,0.92904293215272,"planetarium.addPointer({
    'ra':  14 ,
    'dec':  12.05 ,
    'label': ' NGC 305 ',
    'colour': ' rgb(0,153,0) '});"
"313","NGC 313","Nebula","–","","Pisces","00h57m","+30°21'","",30.35,14.25,"planetarium.addPointer({
    'ra':  14.25 ,
    'dec':  30.35 ,
    'label': ' NGC 313 ',
    'colour': ' rgb(0,153,0) '});",-0.462369483493664,1.57927149153315,"planetarium.addPointer({
    'ra':  14.25 ,
    'dec':  30.35 ,
    'label': ' NGC 313 ',
    'colour': ' rgb(0,153,0) '});"
"358","NGC 358","Nebula","–","","Cassiopeia","01h05m","+62°01'","",62.0166666666667,16.25,"planetarium.addPointer({
    'ra':  16.25 ,
    'dec':  62.0166666666667 ,
    'label': ' NGC 358 ',
    'colour': ' rgb(0,153,0) '});",0.243750389550257,-0.76481618090575,"planetarium.addPointer({
    'ra':  16.25 ,
    'dec':  62.0166666666667 ,
    'label': ' NGC 358 ',
    'colour': ' rgb(0,153,0) '});"
"370","NGC 370","Nebula","–","","Pisces","01h06m","+32°25'","",32.4166666666667,16.5,"planetarium.addPointer({
    'ra':  16.5 ,
    'dec':  32.4166666666667 ,
    'label': ' NGC 370 ',
    'colour': ' rgb(0,153,0) '});",0.908644252356408,1.64659145338835,"planetarium.addPointer({
    'ra':  16.5 ,
    'dec':  32.4166666666667 ,
    'label': ' NGC 370 ',
    'colour': ' rgb(0,153,0) '});"
"405","NGC 405","Nebula","6.9","","Phoenix","01h08m","-46°40'","",-45.3333333333333,17,"planetarium.addPointer({
    'ra':  17 ,
    'dec':  -45.3333333333333 ,
    'label': ' NGC 405 ',
    'colour': ' rgb(0,153,0) '});",-0.36570724431562,-0.78746697985917,"planetarium.addPointer({
    'ra':  17 ,
    'dec':  -45.3333333333333 ,
    'label': ' NGC 405 ',
    'colour': ' rgb(0,153,0) '});"
"421","NGC 421","Nebula","–","","Pisces","01h12m","+32°07'","",32.1166666666667,18,"planetarium.addPointer({
    'ra':  18 ,
    'dec':  32.1166666666667 ,
    'label': ' NGC 421 ',
    'colour': ' rgb(0,153,0) '});",-0.0330424371799299,1.41488956426155,"planetarium.addPointer({
    'ra':  18 ,
    'dec':  32.1166666666667 ,
    'label': ' NGC 421 ',
    'colour': ' rgb(0,153,0) '});"
"453","NGC 453","Nebula","–","","Pisces","01h16m","+33°00'","",33,19,"planetarium.addPointer({
    'ra':  19 ,
    'dec':  33 ,
    'label': ' NGC 453 ',
    'colour': ' rgb(0,153,0) '});",0.491470637590655,-0.993674742844894,"planetarium.addPointer({
    'ra':  19 ,
    'dec':  33 ,
    'label': ' NGC 453 ',
    'colour': ' rgb(0,153,0) '});"
"460","NGC 460","Nebula","–","","Tucana","01h14m","-73°16'","",-72.7333333333333,18.5,"planetarium.addPointer({
    'ra':  18.5 ,
    'dec':  -72.7333333333333 ,
    'label': ' NGC 460 ',
    'colour': ' rgb(0,153,0) '});",1.07187068265502,0.446922238067575,"planetarium.addPointer({
    'ra':  18.5 ,
    'dec':  -72.7333333333333 ,
    'label': ' NGC 460 ',
    'colour': ' rgb(0,153,0) '});"
"603","NGC 603","Nebula","–","","Triangulum","01h34m","+30°13'","",30.2166666666667,23.5,"planetarium.addPointer({
    'ra':  23.5 ,
    'dec':  30.2166666666667 ,
    'label': ' NGC 603 ',
    'colour': ' rgb(0,153,0) '});",-0.348027299935423,-0.613884192359271,"planetarium.addPointer({
    'ra':  23.5 ,
    'dec':  30.2166666666667 ,
    'label': ' NGC 603 ',
    'colour': ' rgb(0,153,0) '});"
"607","NGC 607","Nebula","–","","Cetus","01h34m","-07°24'","",-6.6,23.5,"planetarium.addPointer({
    'ra':  23.5 ,
    'dec':  -6.6 ,
    'label': ' NGC 607 ',
    'colour': ' rgb(0,153,0) '});",0.0864287379258864,0.167775242652241,"planetarium.addPointer({
    'ra':  23.5 ,
    'dec':  -6.6 ,
    'label': ' NGC 607 ',
    'colour': ' rgb(0,153,0) '});"
"610","NGC 610","Nebula","–","","Cetus","01h34m","-20°08'","",-19.8666666666667,23.5,"planetarium.addPointer({
    'ra':  23.5 ,
    'dec':  -19.8666666666667 ,
    'label': ' NGC 610 ',
    'colour': ' rgb(0,153,0) '});",-0.267518117798237,-0.442357359799102,"planetarium.addPointer({
    'ra':  23.5 ,
    'dec':  -19.8666666666667 ,
    'label': ' NGC 610 ',
    'colour': ' rgb(0,153,0) '});"
"611","NGC 611","Nebula","–","","Cetus","01h34m","-20°07'","",-19.8833333333333,23.5,"planetarium.addPointer({
    'ra':  23.5 ,
    'dec':  -19.8833333333333 ,
    'label': ' NGC 611 ',
    'colour': ' rgb(0,153,0) '});",-0.275222907948512,-0.457697637176713,"planetarium.addPointer({
    'ra':  23.5 ,
    'dec':  -19.8833333333333 ,
    'label': ' NGC 611 ',
    'colour': ' rgb(0,153,0) '});"
"629","NGC 629","Nebula","–","","Cassiopeia","01h38m","+72°52'","",72.8666666666667,24.5,"planetarium.addPointer({
    'ra':  24.5 ,
    'dec':  72.8666666666667 ,
    'label': ' NGC 629 ',
    'colour': ' rgb(0,153,0) '});",0.220271594601946,1.46657319435674,"planetarium.addPointer({
    'ra':  24.5 ,
    'dec':  72.8666666666667 ,
    'label': ' NGC 629 ',
    'colour': ' rgb(0,153,0) '});"
"728","NGC 728","Nebula","–","","Pisces","01h55m","+04°13'","",4.21666666666667,28.75,"planetarium.addPointer({
    'ra':  28.75 ,
    'dec':  4.21666666666667 ,
    'label': ' NGC 728 ',
    'colour': ' rgb(0,153,0) '});",-0.94879056882558,1.93401808101931,"planetarium.addPointer({
    'ra':  28.75 ,
    'dec':  4.21666666666667 ,
    'label': ' NGC 728 ',
    'colour': ' rgb(0,153,0) '});"
"737","NGC 737","Nebula","–","","Triangulum","01h56m","+33°02'","",33.0333333333333,29,"planetarium.addPointer({
    'ra':  29 ,
    'dec':  33.0333333333333 ,
    'label': ' NGC 737 ',
    'colour': ' rgb(0,153,0) '});",0.437454863313775,-0.96943144501563,"planetarium.addPointer({
    'ra':  29 ,
    'dec':  33.0333333333333 ,
    'label': ' NGC 737 ',
    'colour': ' rgb(0,153,0) '});"
