Name,Type,Magnitude,Distance,Constellation,RA,DEC,Other Names,Description,Url_image
NGC 1,Galaxy,15.2,55200.0,Pegasus,00h07m,+27°42',Mrk 477,From Madrid: NGC1 is not observable – it will reach its highest point in the sky during daytime and is no higher than 17° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115728_178d08e46221.png
NGC 2,Galaxy,16.2,96800.0,Pegasus,00h07m,+27°40',Mrk 1175,From Madrid: NGC2 is not observable – it will reach its highest point in the sky during daytime and is no higher than 17° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115718_43468d78b3dc.png
NGC 3,Galaxy,16.0,–,Pisces,00h07m,+08°18',Mrk 211,From Madrid: NGC3 is not observable – it will reach its highest point in the sky during daytime and is no higher than 4° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115720_660c34a1256a.png
NGC 4,Galaxy,16.4,–,Pisces,00h07m,+08°22',,From Madrid: NGC4 is not observable – it will reach its highest point in the sky during daytime and is no higher than 4° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115716_ebffbb98ecb4.png
NGC 5,Galaxy,14.6,–,Andromeda,00h07m,+35°21',,From Madrid: NGC5 is not observable – it will reach its highest point in the sky during daytime and is no higher than 21° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115733_42af6ffd3a83.png
NGC 6,Galaxy,14.4,–,Andromeda,00h09m,+33°18',,From Madrid: NGC6 is not observable – it will reach its highest point in the sky during daytime and is no higher than 20° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_cf97642356dc.png
NGC 7,Galaxy,13.8,20050.0,Sculptor,00h08m,-29°54',,From Madrid: NGC7 is not readily observable since it lies so far south that it will never rise more than 19° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115741_0f3edca3f8a5.png
NGC 8,Double star,15.3,–,Pegasus,00h08m,+23°50',,From Madrid: NGC8 is not observable – it will reach its highest point in the sky during daytime and is no higher than 14° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115726_cfe8a800959d.png
NGC 9,Galaxy,14.6,41250.0,Pegasus,00h08m,+23°49',,From Madrid: NGC9 is not observable – it will reach its highest point in the sky during daytime and is no higher than 14° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_f8ae70cfdcfe.png
NGC 10,Galaxy,12.5,84300.0,Sculptor,00h08m,-33°51',,From Madrid: NGC10 is not readily observable since it lies so far south that it will never rise more than 15° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115755_5b15ac9b9768.png
